type,name,metric,avg,std,seed1,seed2,seed3
random,squeezeprot_sp_nonstrict,ap,0.7229494153885675,0.00818077956641103,0.7137142628067966,0.7336020309556193,0.7215319524032865
random,squeezeprot_sp_nonstrict,f1,0.6500671448031371,0.031881301948097546,0.6064073226544623,0.6621507197290432,0.6816433920259057
random,squeezeprot_sp_nonstrict,acc,0.6652287044645303,0.013262483688151628,0.6466721446179129,0.6721446179129006,0.6768693508627773
random,squeezeprot_sp_strict,mcc,0.34889484766664647,0.01247618305729185,0.33175886843117336,0.3611030814038975,0.3538225931648686
random,squeezeprot_sp_strict,auroc,0.7527815118920379,0.005802958585953824,0.7451825987499737,0.7592649732730444,0.7538969636530957
random,squeezeprot_sp_strict,ap,0.7239831420199806,0.01211887099440027,0.7087118419964793,0.7383560836212746,0.7248815004421877
random,squeezeprot_sp_strict,f1,0.6576156589524954,0.024699795446435205,0.6232813932172319,0.6692160611854685,0.6803495224547856
random,squeezeprot_sp_strict,acc,0.6731032593809916,0.007766939982716633,0.6622843056696796,0.6801561216105176,0.6768693508627773
random,proteinbert,mcc,0.4661733367502994,0.011159068713449873,0.4655537310233486,0.4801396138434064,0.4528266653841433
random,proteinbert,auroc,0.8061428955315986,0.0017908860612532971,0.8057034384834401,0.8085227322598438,0.804202515851512
random,proteinbert,ap,0.7786714746457406,0.004747117755830238,0.7731429549447354,0.7847341118121784,0.7781373571803082
random,proteinbert,f1,0.7405676732829111,0.010557612181926612,0.7384491763760547,0.7544264819091608,0.7288273615635179
random,proteinbert,acc,0.7322651328403177,0.0047003566972693535,0.7325390304026295,0.7378800328677074,0.7263763352506163
random,prottrans_bert,mcc,0.5073614408838982,0.011100004005981887,0.5111499665425306,0.4922743603722356,0.5186599957369286
random,prottrans_bert,auroc,0.8443306467966026,0.007132902685586274,0.8428960042239191,0.8364007834775629,0.8536951526883261
random,prottrans_bert,ap,0.837057192810697,0.007109929286783165,0.8359020122347484,0.8289845917671286,0.8462849744302142
